code;name;calories;protein;fat;carbo;fiber
AP001;Nasi;180;3;0,3;39,8;0,2
AP002;Nasi tim;120;2,4;0,4;26;0,5
AP003;Tapai beras;99;1,7;0,3;22,4;-
AP004;Tepung beras, mentah;353;7;0,5;80;2,4
AP005;Nasi beras merah;149;2,8;0,4;32,5;0,3
AP006;Bihun, mentah;348;4,7;0,1;82,1;1,2
AP007;Bihun goreng instan;381;6,1;3,9;80,3;-
AP008;Bihun Jagung, mentah;354;0,5;0,3;87,4;3
AP009;Nasi jagung;357;8,8;0,5;79,5;6,2
AP010;Jagung muda, rebus;142;5;0,7;30,3;0,8
AP011;Jagung kuning, tepung;355;9,2;3,9;73,7;7,2
AP012;Jagung kuning pipil, rebus;154;3,8;3,5;28,4;0,7
AP013;Tepung jagung putih;355;9,2;3,9;73,7;7,2
AP014;Ketupat ketan;212;4;4,6;38,6;0,2
AP015;Ketan hitam, matang;181;4;1,2;37,3;0,3
AP016;Tapai ketan hitam;166;3,8;1;34,4;0,3
AP017;Ketan putih, matang;163;3;0,4;35,7;0,2
AP018;Tapai ketan putih;172;3;0,5;37,5;0,6
AP019;Maizena, tepung;341;0,3;-;85;7
AP020;Makaroni, mentah;353;8,7;0,4;78,7;4,9
AP021;Mi basah;88;0,6;3,3;14;0,1
AP022;Mi kering;339;10;1,7;6,3;0,4
AP023;Misoa;345;8,5;2,2;78;0,5
AP024;Roti putih;248;8;1,2;50;9,1
AP025;Tepung terigu;333;9;1;77,2;0,3
AP026;Amparan tatak;191;1,3;5,5;34;-
AP027;Apang kukus, kue;202;3;0,3;46,7;-
AP028;Apem, kue;148;2;0,5;33,9;-
AP029;Biskuit;458;6,9;14,4;75,1;2,1
AP030;Bakpia, kue;272;8,7;6,7;44,1;0,9
AP031;Bakwan;280;8,2;10,2;39;3,4
AP032;Bantal;190;3,3;0,3;43,5;3,4
AP033;Baruasa;417;6,5;8,2;79,3;-
AP034;Batar daan;107;2,2;2,2;19,6;-
AP035;Bika ambon;199;2,1;1,5;44,4;0,3
AP036;Bingka;273;5,3;10,6;39,1;-
AP037;Bobengka;225;5,3;2,6;45,2;-
AP038;Bolu peca;197;3,3;4,6;35,6;-
AP039;Brem;249;3,4;0,4;58;-
AP040;Bubur tinotuan (Manado);156;2,3;0,2;15,6;8,2
AP041;Cake tape;323;4,9;11,5;50,1;1,4
AP042;Cangkuning;204;2,8;7,5;31,4;-
AP043;Dodol bali;298;3,7;2,1;65,9;0,4
AP044;Dodol galamai;348;0,4;3,8;76,1;0,5
AP045;Dodol kedondong;331;1,9;7,6;63,8;1
AP046;Dodol manado;373;4,3;16,5;51,9;0,4
AP047;Emping beras;403;10,6;2,2;85,3;0,2
AP048;Gemblong;274;1,7;5,4;55,5;2,2
AP049;Gendar goreng;407;6,4;28,2;32;0,1
AP050;Intip goreng;474;7,6;21,6;62,3;1,2
AP051;Jagung gerontol;156;2,7;1,3;33,3;1
AP052;Jagung titi;374;9,4;2,2;79,1;0,8
AP053;Japilus;500;1,2;25,1;67,3;0,4
AP054;Kakicak;296;3,4;15,1;36,7;-
AP055;Kambose;164;3;2,4;32,6;4,3
AP056;Kapusa;158;4,4;3,2;27,8;5,3
AP057;Keddo bodong;290;4,6;5,7;55,2;-
AP058;Kelepon, kue;215;3,7;3,7;41,8;1
AP059;Kereput;580;4,8;39,6;51,1;-
AP060;Ketoprak;153;7,9;7,7;13;2,9
AP061;Ketupat kandangan;109;2,2;5,2;13,4;-
AP062;Koya;366;4,2;4,3;77,5;0,8
AP063;Koya mirasa;370;8;1;82,2;0,4
AP064;Koyabu;241;3,4;4,3;47,2;-
AP065;Kue ali;440;3,8;18,5;64,5;0,3
AP066;Kue bangen;442;3,3;14,7;74,2;-
AP067;Kue gelang;448;5,8;16,1;70;-
AP068;Kue jahe;425;1,6;8,8;84,6;1,2
AP069;Kue kelapa;591;5,6;42,1;47,5;-
AP070;Kue koa;340;4,8;0,4;79,3;-
AP071;Kue ku temu;214;3,5;0,2;49,6;-
AP072;Kue lumpur;291;3,6;11,1;44,1;-
AP073;Kue pelita;141;5,3;5,5;17,6;-
AP074;Kue putu cangkir;304;5,3;7;54,9;0,9
AP075;Kue sus;221;7,5;10,2;24,8;-
AP076;Kue thipan;247;2,9;4,2;49,5;-
AP077;Laksa/Putu mayang;121;1,7;3,4;21,1;-
AP078;Lapis legit;389;6,6;15,7;55,5;0,5
AP079;Lupis ketan;164;1,8;2,1;34,5;0,7
AP080;Manan samin;379;3,4;18,1;50,6;-
AP081;Martabak india;153;4,5;4,2;24,3;-
AP082;Martabak mesir;278;5,1;8,6;45;-
AP083;Masekat;369;2,1;7;74,1;4
AP084;Mie aceh rebus;113;3;3,2;18,1;-
AP085;Mie ayam;102;6,2;3,9;10,5;-
AP086;Mie bakso;114;5,3;3;16,4;0,1
AP087;Mie celon;102;3;2,1;17,8;-
AP088;Mie pangsit basah;105;5,9;4,9;9,4;-
AP089;Nasi gemuk;192;3,8;8,8;24,4;0,7
AP090;Nasi gurih;190;4,7;7,5;26;0,7
AP091;Nasi minyak;207;3,5;5;37,1;0,8
AP092;Nasi rames;155;10,3;4,2;19,1;-
AP093;Nopia spesial;387;5,3;7,6;74,3;0,3
AP094;Onde-onde;336;4;9,8;57,9;-
AP095;Padamaran;171;3,9;8,9;18,8;-
AP096;Pastel;307;4,5;13,3;42,4;-
AP097;Pulut;216;2,6;3,1;44,4;-
AP098;Pundut nasi;104;1,9;4,1;15,1;0,4
AP100;Putri selat;163;2,2;6,5;23,8;-
AP101;Putu sopa;215;3,3;4,1;41,1;-
AP102;Renggi goreng;471;4,7;21,8;64,1;6,4
AP103;Roti boong;341;5,5;16,2;43,3;-
AP104;Roti warna sawo matang;249;7,9;1,5;49,7;-
AP105;Sarimuka;166;2,3;2,8;32,9;-
AP106;Spaghetti;139;7,4;2,1;22,6;-
AP107;Srikaya ketan;265;2,7;6,4;49,1;-
AP108;Sunduk lawang;181;1,9;1,3;32,4;-
AP109;Suwir-suwir;347;0,5;0,9;84,2;0,8
AP110;Tipa-tipa;355;6,2;1,2;79,8;1,3
AP111;Wajit camilan;303;6,3;2,7;63,3;6,9
AP112;Widaran;424;1,3;10,7;80,7;0,2
AP113;Wingko babat;355;3,2;15,1;51,4;2,4
AP114;Yangko;254;3;1,1;58,1;0,8
AP99;Putri hijau;189;5,4;2,1;37,2;-
AR001;Beras giling, mentah;357;8,4;1,7;77,1;0,2
AR002;Beras giling var pelita, mentah;369;9,5;1,4;77,1;0,4
AR003;Beras giling var rojolele, mentah;357;8,4;1,7;77,1;0,2
AR004;Beras hitam, mentah;351;8;1,3;76,9;20,1
AR005;Beras jagung kuning, kering, mentah;358;5,5;0,1;82,7;10
AR006;Beras jagung putih, kering, mentah;307;4,8;0,1;71,8;10
AR007;Beras ketan hitam tumbuk, mentah;360;8;2,3;74,5;1
AR008;Beras ketan putih tumbuk, mentah;361;7,4;0,8;78,4;0,4
AR009;Beras ladang, mentah;376;7,5;3,8;78;5,9
AR010;Beras menir, mentah;362;7,7;4,4;73;0,2
AR011;Beras parboiled;353;6,8;0,6;80;0,5
AR012;Beras tumbuk, mentah;354;7,8;0,4;79,9;3,8
AR013;Beras tumbuk merah, mentah;352;7,3;0,9;76,2;0,8
AR014;Cantel, mentah;366;11;3,3;73;1,2
AR015;Jagung muda, kuning, mentah;147;5,1;0,7;31,5;1,3
AR016;Jagung kuning pipil, kering, mentah;366;9,8;7,3;69,1;2,2
AR017;Jagung pipil var. harapan, kering;367;6,2;5,1;76,2;2,6
AR018;Jagung pipil var. metro, kering;368;5,5;4,6;78;2,9
AR019;Jali, mentah;324;11;4;61;3,1
AR020;Jawawut, mentah;364;9,7;3,5;73,4;8,2
AR021;Jampang huma, mentah;350;6,2;1,4;78,2;1,7
BP001;Batatas kelapa, ubi, bakar;110;1,4;1,1;23,4;4,5
BP002;Batatas kelapa, ubi, kukus;92;1,2;0,3;21;4,1
BP003;Batatas tali, ubi, rebus;182;2,4;0,4;42,2;9,2
BP004;Belitung, talas, kukus;145;1,2;0,4;34,2;1
BP005;Bentul, talas, kukus;71;2,3;0,3;15,4;0,5
BP006;Gadung, ubi, kukus;88;0,6;0,3;20,9;0,9
BP007;Ganyong, rebus;100;0,8;0,2;23,8;0,9
BP008;Ketela pohon/singkong kukus;153;1,2;0,3;36,4;1,3
BP009;Suweg, talas, kukus;93;1,5;0,1;21,9;0,9
BP010;Talas bogor, kukus;120;1,5;0,3;28,2;0,7
BP011;Ubi jalar, kuning, kukus;100;0,7;0,3;23,8;1
BP012;Ubi jalar tinta/ kemayung kukus;165;0,9;0,2;39,8;1,1
BP013;Bagea kelapa asin;450;3,2;13,9;78,1;-
BP014;Bagea kelapa manis;452;1,3;13,8;80,6;-
BP015;Bagea kenari asin;529;3,2;29,1;63,6;-
BP016;Bagea kenari manis;523;3,2;28,2;64,2;-
BP017;Bagea kw 1;416;6,5;9,4;76,3;0,4
BP018;Bagea kw 2;382;0,3;3,5;87,2;0,9
BP019;Beras Cerdas;350;2,7;1,1;82,3;6,2
BP020;Beras ganyong;364;3,4;0,7;86,3;4,7
BP021;Beras Siger;344;1,1;0,2;28,3;5,6
BP022;Biji nangka/Biji salak;262;2,3;5,4;51,1;8
BP023;Bubur sagu;167;0,2;4;33;-
BP024;Cassavastick;460;0,8;18,7;17,2;1,6
BP025;Ceriping getuk singkong;462;1,2;20,7;67,7;0,6
BP026;Gatot;347;1,3;0,7;83,8;5,8
BP027;Geblek;195;0,4;1,7;44,4;3,6
BP028;Getuk goreng;360;1,3;6,4;74,3;0,8
BP029;Getuk singkong;204;0,5;1,4;47,4;0,8
BP030;Gurandil;218;0,5;2,5;48,5;3,1
BP031;Kabuto;250;2,6;2,5;35,4;1,8
BP032;Kapurung;41;2;0,3;7,8;2
BP033;Kecimpring singkong goreng;464;1,2;18,6;73;1,3
BP034;Keremes;475;1,6;25,2;64,4;2,1
BP035;Keripik gadung;446;2,8;14,5;76;1,7
BP036;Keripik kentang;448;2,7;18,8;67,1;3,8
BP037;Keripik singkong;478;0,9;20,7;72;2
BP038;Keripik singkong berbumbu;481;2,2;19,7;73,6;1,6
BP039;Keripik ubi;486;0,2;23,9;67,6;14,3
BP040;Kerupuk cumi goreng;444;6,9;14,6;71,3;5
BP041;Kerupuk kemplang (ikan) mentah;325;1,8;0,4;78,5;4,5
BP042;Kerupuk kemplang goreng;504;5,6;28,1;57,1;0,3
BP043;Kerupuk kemplang panggang;356;9,7;1,1;76,9;1
BP044;Kerupuk mie kuning goreng;476;0,1;21,1;71,3;4,2
BP045;Kerupuk udang goreng;477;4,7;20,5;68,5;5
BP046;Kue bangket;338;1,5;1,2;80,3;-
BP047;Kue putu singkong;217;1,2;0,5;53,2;2,4
BP048;Lanting getuk;422;0,9;10,8;80,4;1,4
BP049;Mi golosor;71;0,2;0,8;15,9;0,1
BP050;Mie Bendo;353;0,3;-;88;2,4
BP051;Mie Sagu;190;0,2;0,4;46,5;1,4
BP052;Ongol-ongol sagu;111;0,3;2,7;21,2;0,3
BP053;Oyek;351;0,9;0,9;84,9;4,3
BP054;Papeda;61;0,2;0,1;14,9;0,5
BP055;Rasbi (Beras Ubi);394;2,2;8,8;76,6;6,8
BP056;Rasi (Beras Singkong);350;0,9;0,4;85,7;14,4
BP057;Sagu forno;291;0,5;4;63,4;-
BP058;Sagu Lemak (Kue Sagon);452;2,8;14,8;76,8;1,1
BP059;Sagu manis;287;0,5;3,9;62,4;-
BP060;Sagu Rendang;364;0,1;0,2;90,5;1,9
BP061;Sagu sinole;354;0,8;8,3;68,9;-
BP062;Serimping talas kebumen;478;2,5;21,2;69,2;1,7
BP063;Tapai singkong;169;1,4;0,3;40,2;2
BP064;Tepung Arrowroot;355;0,7;0,2;85,2;0,4
BP065;Tepung Ganyong;353;0,8;1,7;83,6;0,7
BP066;Tepung Gaplek;345;2,4;0,4;83,1;6,7
BP067;Tepung kentang, kering;347;0,3;0,1;85,6;0,4
BP068;Tepung Mocaf;350;1,2;0,6;85;6
BP069;Tepung Sente;326;4;0,4;76,7;8,5
BP070;Tepung singkong/ Tapioka;363;1,1;0,5;88,2;0,9
BP071;Tepung Tales Beneng;332;5,7;0,6;76,1;12,2
BP072;Tepung Ubi Ungu;354;2,8;0,6;84,4;12,9
BP073;Tiwul;353;2,4;1,1;83,4;6,5
BP074;Tiwul Instan;395;3,2;8,5;76,5;4,2
BP075;Ubi Cilembu;186;1,9;0,2;44,3;3,4
BP076;Uli batatas;150;1,1;4;27,4;-
BR001;Arrowroot, segar;102;1;0,2;24,1;1,7
BR002;Batatas gembili, segar;76;1,1;0,9;16;4,2
BR003;Batatas kelapa, ubi, segar;89;1,1;0,1;21;4
BR004;Belitung, talas, segar;145;1,2;0,4;34,2;1,5
BR005;Bengkuang, segar;59;1,4;0,2;12,8;1
BR006;Bentul (Komba), talas, segar;98;1,6;0,7;20,9;0,7
BR007;Gadeng/Gadung, kering;322;2,4;0,6;76,6;-
BR008;Gadung, ubi, segar;100;0,9;0,3;23,5;2,1
BR009;Ganyong, segar;77;0,6;0,2;18,4;0,8
BR010;Gembili, ubi, segar;131;1,1;0,2;31,3;1,1
BR011;Hofa/Ubi hutan, segar;127;1,2;0,5;29,5;3,4
BR012;Kaburan, ubi, segar;133;1;0,2;32,2;0,7
BR013;Kentang, segar;62;2,1;0,2;13,5;0,5
BR014;Kentang hitam, segar;142;0,9;0,4;33,7;5,4
BR015;Keribang, ubi, segar;137;1,3;1,1;29,8;0,6
BR016;Ketela pohon/ singkong, segar;154;1;0,3;36,8;0,9
BR017;Lepok/Ubi rumput;181;2,8;1,2;39,8;10,7
BR018;Sagu aren, kering;355;0,6;1,1;85,6;0,3
BR019;Sagu aren, segar;231;0,6;0,2;56,6;3,2
BR020;Sagu kasbi segar;230;0,6;0,2;56,5;3
BR021;Sagu lempeng;347;0,9;0,3;85,2;4,7
BR022;Sagu singkong, kering;362;0,5;0,3;86,9;-
BR023;Sente, talas, segar;353;0,7;0,2;84,7;6,6
BR024;Suweg, talas, segar;74;1,4;0,1;17,2;1,4
BR025;Talas bogor, segar;108;1,4;0,4;25;0,9
BR026;Talas pontianak, segar;163;2,3;0,5;36,4;0,7
BR027;Talas viqueque, segar;115;1,8;0,5;25,9;8,6
BR028;Ubi jalar, kuning, segar;119;0,5;0,4;25,1;4,2
BR029;Ubi jalar manis, segar;83;1,5;0,2;18,8;0,6
BR030;Ubi jalar merah, segar;151;1,6;0,3;35,4;0,7
BR031;Ubi jalar putih, segar;88;0,4;0,4;20,6;4
BR032;Ubi jalar tinta/ kemayung;108;0,5;0,4;25,6;4,2
BR033;Umbi Uwi, segar;120;2,8;0,5;82,3;2,6
CP001;Kacang belimbing (kecipir), rebus;204;16,9;8,8;17,5;4,8
CP002;Kacang bogor, goreng;479;12,7;23,2;58,9;1,2
CP003;Kacang bogor, rebus;161;7,7;2,8;27,1;2
CP004;Kacang gude, rebus;147;9;0,5;27,5;3,4
CP005;Kacang hijau, rebus;109;8,7;0,5;18,3;1,5
CP006;Kacang kedelai, goreng;521;32,2;37,7;22,9;7,6
CP007;Kacang kedelai, rebus;189;20,2;8,2;12,7;1,6
CP008;Kacang merah kering, rebus;158;10,3;0,9;28,2;2,6
CP009;Kacang merah segar, rebus;144;10;1;24,7;3,5
CP010;Kacang mete/biji jambu monyet, goreng;629;20,4;56,3;19,8;1,1
CP011;Kacang tanah rebus dg kulit;360;13,5;31,2;12,8;-
CP012;Kacang tanah, goreng;564;25,5;44,4;25,5;2,8
CP013;Kacang tanah, rebus;220;10,6;18;8;1
CP014;Kacang tolo / tunggak, rebus;138;10,7;1,1;22,6;0,9
CP015;Ampas kacang hijau;96;3,7;0,6;19,1;2,7
CP016;Ampas tahu, mentah;67;5;2,1;8,1;4,1
CP017;Ampas tahu kukus;75;4,1;2,1;10,7;5,1
CP018;Ampas tahu, kering;414;26,6;18,3;41,3;-
CP019;Pepes oncom ampas tahu;76;5,2;1,8;10,6;2,2
CP020;Bungkil biji karet;333;29,3;3,3;50;-
CP021;Bungkil kacang tanah;336;37,4;13;30,5;-
CP022;Bungkil kelapa;368;23;15;40;-
CP023;Dodol banjarmasin;368;2,6;8,6;70;0,5
CP024;Emping (kerupuk melinjo);345;12;1,5;71,5;-
CP025;Emping komak;355;17,8;4,6;60,7;-
CP026;Enting-enting gepuk hello kity;538;13,6;30,3;52,6;0,2
CP027;Enting-enting gepuk kacang tanah;524;13,3;29,2;52;0,2
CP028;Enting-enting wijen;565;18,2;38,4;36,8;1,9
CP029;Geplak;350;1,4;14,4;53,6;1,8
CP030;Geplak jahe;462;3,1;24,4;57,7;3,3
CP031;Kacang atom;533;27,8;38,1;28,8;2,5
CP032;Kacang goyang;516;14,7;31,1;44,4;-
CP033;Kacang negara;480;18,4;19,1;58,5;11,7
CP034;Kacang sukro;484;8,8;26,1;57,7;1,8
CP035;Kacang tanah sari;561;25,5;43,8;26;2,2
CP036;Keju kacang tanah (peanut butter);590;27;49;20,9;1,6
CP037;Kembang tahu;380;48,9;13,8;23,3;-
CP038;Kembang tahu rebus;90;10,7;4;4,7;-
CP039;Keripik oncom;598;8,3;43,8;42,6;3,3
CP040;Keripik tempe;581;12,1;40,6;41,7;2,2
CP041;Keripik tempe abadi besar;556;15,8;37,1;39,8;3,5
CP042;Keripik tempe abadi murni;542;40,3;42,4;11,6;2,2
CP043;Keripik tempe abadi sedang;510;12,3;27,9;52,4;3,6
CP044;Keripik tempe abadi telur;529;20,8;31,7;40,2;3
CP045;Keripik tempe abadi prima;540;16,7;33,9;42;2,2
CP046;Kwaci;515;30,6;42,1;13,8;13,6
CP047;Melinjo emping tebal goreng manis;439;10;16,4;65,7;-
CP048;Melinjo emping tebal, goreng asin;431;11,1;16,2;63;-
CP049;Melinjo emping tipis goreng;485;11,5;24,5;59,1;-
CP050;Moon tahu;128;8;10;1,3;0,2
CP051;Oncom;187;13;6;22,6;-
CP052;Oncom ampas kacang hijau;376;14,9;6;65,7;12,3
CP053;Oncom kacang hijau + singkong;351;11;5,3;65,9;9
CP054;Oncom kacang tanah pepes;132;12,7;3,8;13,7;3,1
CP055;Rempeyek kacang tanah;513;17,5;32,5;44,3;1,7
CP056;Rempeyek kacang tolo;451;11,2;20,2;59,7;1,8
CP057;Rempeyek kacang uci;497;17;27,6;50,8;2,4
CP058;Sayur lebui;64;2,1;0,6;12,5;5,7
CP059;Saridele, bubuk;344;30;20;43;6,2
CP060;Susu kedelai;41;3,5;2,5;5;0,2
CP061;Tahu, mentah;80;10,9;4,7;0,8;0,1
CP062;Tahu goreng;115;9,7;8,5;2,5;0,1
CP063;Tahu telur;328;12,6;19,9;24,6;0,4
CP064;Takwa;148;13,8;8,5;4;-
CP065;Tauco;184;11,4;5,5;22,2;1,9
CP066;Tauco cap beruang, cake;347;7,4;5,2;67,6;3,2
CP067;Tauco cap DAS, cake;358;7,5;4,3;70,4;3,1
CP068;Tauco cap meong;159;7,4;4,9;21,3;1,6
CP069;Tauji cap singa;277;9,1;4,7;49,6;1,2
CP070;Tempe bongkrek;119;4,4;3,5;18,3;-
CP071;Tempe gembus P3G;73;5,7;1,3;10,3;4,2
CP072;Tempe gembus yogya;76;6,8;0,7;10,6;5,3
CP073;Tempe kacang babi;139;12,5;0,8;21,9;1,8
CP074;Tempe kecipir (kacang belimbing);212;17,5;10;12,9;2,9
CP075;Tempe kedelai + jagung;143;12;5,5;11,4;1,9
CP076;Tempe kedelai murni, goreng;350;24,5;26,6;10,4;4,2
CP077;Tempe kedelai murni, mentah;201;20,8;8,8;13,5;1,4
CP078;Tempe koro benguk;141;10,2;1,3;23,2;-
CP079;Tempe lamtoro;128;10,7;0,5;21,3;7,1
CP080;Tempe lamtoro var. gung dengan kulit;146;11,7;2,3;19,6;7,6
CP081;Tempe lamtoro var. gung tanpa kulit;131;18;0,8;13;1,3
CP082;Tempe pasar;150;14;7,7;9,1;1,4
CP083;Tempe pasar goreng;336;20;28;7,8;3,4
CP084;Tepung hunkwe (pati kacang ijo);364;4,5;1;83,5;16,1
CP085;Tepung Jalejo;388;19;7,5;61,2;5,8
CP086;Tepung kacang kedelai;347;35,9;20,6;29,9;5,8
CR001;Kacang arab, kering;330;23,8;1,4;60,2;17,4
CR002;Kacang babi, kering;341;30,4;3,2;51,3;4,5
CR003;Kacang belimbing (kecipir), kering;400;34,4;16,9;34,1;10,7
CR004;Kacang beracun, segar;118;4,4;1,5;21,6;-
CR005;Kacang bogor, kering;370;16;6;65;26,3
CR006;Kacang bogor, segar;165;7,7;3,1;27,4;2,5
CR007;Kacang endel, biji, kering;331;25;1;58;23,6
CR008;Kacang ercis, segar;129;12,4;0,7;18,3;28,6
CR009;Kacang galing, segar;336;23,1;1,7;59,5;-
CR010;Kacang gude, biji, kering;316;20,7;1;58;4,6
CR011;Kacang gude, biji, segar;114;7;0,6;20,8;4,4
CR012;Kacang hijau var. bakti, kering;350;17,1;1,8;70,7;5,7
CR013;Kacang hijau var. siwalik, kering;339;20,8;2,1;64,6;7,4
CR014;Kacang hijau, kering;323;22,9;1,5;56,8;7,5
CR015;Kacang hitam, kering;346;16,6;1,7;66,1;22,8
CR016;Kacang kapri, segar;98;6,7;0,4;17,7;6,2
CR017;Kacang kedelai, kering;381;40,4;16,7;24,9;3,2
CR018;Kacang kedelai, segar;286;30,2;15,6;30,1;-
CR019;Kacang kincai, kering;444;19,9;16;55;-
CR020;Kacang komak, segar;327;16,4;4,3;55,8;0,5
CR021;Kacang kuning, kering;355;17;2,5;66;15,1
CR022;Kacang lebui /iris, kering;346;16,5;1,5;66,6;37,3
CR023;Kacang mentega, kering;344;16,7;2,1;64,6;13
CR024;Kacang merah/banda, kering;350;13,9;3;66,9;26,3
CR025;Kacang merah tua, kering;280;16,7;1,6;63,2;4,6
CR026;Kacang merah, kering;314;22,1;1,1;56,2;4
CR027;Kacang merah, segar;171;11;2,2;28;2,1
CR028;Kacang mete/biji jambu monyet, segar;616;16,3;48,4;28,7;0,9
CR029;Kacang panjang, biji, kering;357;17,3;1,5;68,6;10,6
CR030;Kacang tanah sangan;560;29,5;43;24,1;2,9
CR031;Kacang tanah sangan tanpa selaput;559;26,9;44,2;23,6;2,6
CR032;Kacang tanah, kering;525;27,9;42,7;17,4;2,4
CR033;Kacang tolo / tunggak, kering;331;24,4;1,9;56,6;1,6
CR034;Kacang tunis, kering;351;12,2;1,2;72,9;29,5
CR035;Kacang uci, kering;358;23,4;2,4;60,6;7,4
CR036;Kacang urei, kering;354;12,8;1,8;69,3;26,1
CR037;Kenari banda, kering;616;13,9;56,2;13,7;-
CR038;Kenari, kering;657;15;66;13;-
CR039;Komak polong, segar;99;3,3;0,1;21,2;10,3
CR040;Koro andong, kering;356;20,5;4,1;61,6;7
CR041;Koro benguk, biji, kering;332;24;3;55;5,6
CR042;Koro kerupuk, biji, segar;125;8,3;0,7;22,1;2,2
CR043;Koro loke, biji, segar;33;2,7;0,2;7,9;3,5
CR044;Koro roay, kering;344;12,5;2,1;69,4;7,5
CR045;Koro wedus, biji, kering;338;22,2;1,5;61;5,8
CR046;Lamtoro biji, muda, segar;85;5,7;0,3;15,4;10,8
CR047;Lamtoro biji, tua, segar;148;10,6;0,5;26,2;17
CR048;Lamtoro var. gung tanpa kulit;367;46,4;5,4;32,5;2,6
CR049;Lamtoro var. lokal dengan kulit;336;23,8;1,2;59,7;15,4
CR050;Nangka, biji, segar;165;4,2;0,1;36,7;1,8
CR051;Saga merah terkupas, mentah;449;30,6;25,5;31,9;3,5
CR052;Wijen, mentah;568;19,3;51,1;18,1;3,6
DP001;Bayam, kukus;30;1,3;0,7;5,8;1,2
DP002;Bayam, rebus;23;1,2;0,6;3,7;1,1
DP003;Buncis, rebus;30;2,2;0,2;6,4;1,5
DP004;Daun kacang panjang, kukus;40;3,7;0,3;8;1,8
DP005;Daun katuk, rebus;53;5,3;0,9;9,1;1,2
DP006;Daun kelor, rebus;61;6,1;0,9;10;0,9
DP007;Daun mengkudu, kukus;63;3,8;1,5;11,5;2,4
DP008;Daun singkong, rebus;31;3,7;0,6;4,8;1,6
DP009;Daun talas, rebus;27;1,3;0,2;5,9;1,6
DP010;Daun ubi merah, kukus;56;3,1;0,3;13;1,5
DP011;Kacang panjang, kukus;39;3;0,6;7,6;1,7
DP012;Kacang panjang, rebus;30;2,3;0,4;5,8;1,4
DP013;Kangkung, kukus;30;3,2;0,7;4,7;1,8
DP014;Kangkung, rebus;22;2,5;0,6;3,1;1,2
DP015;Paria putih, kukus;16;0,8;0,2;3,4;1,2
DP016;Selada, rebus;19;2,7;0,2;2,9;0,7
DP017;Taoge, goreng;88;3,2;2,1;14;0,7
DP018;Taoge, seduh;28;3;0,8;4;1
DP019;Terung panjang, kukus;23;1,8;0,1;4,9;0,4
DP020;Wortel, rebus;28;0,7;0,5;6,3;0,8
DP021;Wortel, kukus;37;1;0,6;8,3;1,1
DP022;Asinan Bogor, sayuran;98;3,9;2,6;14,8;0,5
DP023;Anyang, sayur;126;3,4;7,9;10,3;5,4
DP024;Ares, sayur;113;0,9;7,2;11,2;4,7
DP025;Arwan sirsir;277;2,4;25;10,7;4,6
DP026;Beberuk;65;1,1;5,2;3,5;3,1
DP027;Botok lamtoro;186;11,7;9,7;13;2,1
DP028;Buntil daun talas;141;4,4;10,2;8;1,8
