code;name;calories;protein;fat;carbo;fiber
2705383;Milk, human;-;-;-;-;-
2705384;Milk, NFS;52;3,33;2,14;4,83;-
2705385;Milk, whole;61;3,27;3,2;4,63;-
2705386;Milk, reduced fat (2%);50;3,36;1,9;4,9;-
2705387;Milk, low fat (1%);43;3,38;0,95;5,18;-
2705388;Milk, fat free (skim);34;3,43;0,08;4,92;-
2705389;Milk, lactose free, low fat (1%);43;3,38;0,95;5,18;-
2705390;Milk, lactose free, fat free (skim);34;3,43;0,08;4,92;-
2705391;Milk, lactose free, reduced fat (2%);50;3,36;1,9;4,9;-
2705392;Milk, lactose free, whole;61;3,27;3,2;4,63;-
2705393;Buttermilk;43;3,46;1,08;4,81;-
2705394;Kefir;52;3,59;0,96;7,48;-
2705395;Goat milk;69;3,56;4,14;4,45;-
2705396;Milk, dry, reconstituted, nonfat;32;3,2;0,07;4,6;-
2705397;Milk, dry, reconstituted, whole;76;4,01;4,08;5,86;-
2705398;Milk, evaporated, NS as to fat content;134;6,81;7,56;10;-
2705399;Milk, evaporated, whole;134;6,81;7,56;10;-
2705400;Milk, evaporated, reduced fat (2%);92;7,42;1,96;11,2;-
2705401;Milk, evaporated, fat free (skim);78;7,55;0,2;11,4;-
2705402;Milk, condensed, sweetened;321;7,91;8,7;54,4;-
2705403;Non-dairy milk, NFS;31;1,14;1,6;3,04;0,1
2705404;Soy milk, sweetened;53;3,41;2,05;5,22;-
2705405;Soy milk, unsweetened;38;3,55;2,12;1,29;-
2705406;Soy milk, chocolate;64;3,35;2,03;8,32;0,1
2705407;Almond milk, sweetened;30;0,53;1,18;4,31;-
2705408;Almond milk, chocolate;43;0,57;1,2;7,44;0,1
2705409;Almond milk, unsweetened;15;0,55;1,22;0,34;-
2705410;Almond milk, NFS;20;0,54;1,21;1,53;-
2705411;Rice milk;47;0,28;0,97;9,17;0,3
2705412;Oat milk;45;0,66;2,33;5,37;0,5
2705413;Coconut milk;31;0,21;2,08;2,92;-
2705414;Yogurt, NFS;94;6,67;2,87;10,2;0,1
2705415;Yogurt, Greek, NS as to type of milk or flavor;91;9,11;1,33;10,8;0,1
2705416;Yogurt, NS as to type of milk or flavor;93;4,57;1,34;15,7;0,2
2705417;Yogurt, NS as to type of milk, plain;63;5,25;1,55;7,04;-
2705418;Yogurt, whole milk, plain;78;3,82;4,48;5,57;-
2705419;Yogurt, low fat milk, plain;63;5,25;1,55;7,04;-
2705420;Yogurt, nonfat milk, plain;50;4,23;0,09;8,08;-
2705421;Yogurt, Greek, NS as to type of milk, plain;67;10,2;1,36;3,6;-
2705422;Yogurt, Greek, whole milk, plain;94;8,78;4,39;4,75;-
2705423;Yogurt, Greek, low fat milk, plain;67;10,2;1,36;3,6;-
2705424;Yogurt, Greek, nonfat milk, plain;59;10,3;0,37;3,64;-
2705425;Yogurt, NS as to type of milk, fruit;93;4,57;1,34;15,7;0,2
2705426;Yogurt, whole milk, fruit;106;3,34;3,86;14,4;0,2
2705427;Yogurt, low fat milk, fruit;93;4,57;1,34;15,7;0,2
2705428;Yogurt, nonfat milk, fruit;46;3,64;0,08;7,64;-
