code;name;calories;protein;fat;carbo;fiber
321358;Hummus, commercial;229;7,35;17,1;14,9;5,4
321360;Tomatoes, grape, raw;27;0,83;0,63;5,51;2,1
321611;Beans, snap, green, canned, regular pack, drained solids;21;1,04;0,39;4,11;-
323121;Frankfurter, beef, unheated;314;11,7;28;2,89;-
323294;Nuts, almonds, dry roasted, with salt added;620;20,4;57,8;16,2;11
323505;Kale, raw;35;2,92;1,49;4,42;4,1
323604;Egg, whole, raw, frozen, pasteurized;150;12,3;10,3;0,91;-
323697;Egg, white, raw, frozen, pasteurized;48;10,1;0,16;0,74;-
323793;Egg, white, dried;376;79,9;0,65;6,02;-
324317;Onion rings, breaded, par fried, frozen, prepared, heated in oven;288;4,52;14,4;36,3;2,4
324653;Pickles, cucumber, dill or kosher dill;12;0,48;0,43;1,99;1
325036;Cheese, parmesan, grated;421;29,6;28;12,4;-
325198;Cheese, pasteurized process, American, vitamin D fortified;366;18;30,6;5,27;-
325287;Grapefruit juice, white, canned or bottled, unsweetened;37;0,55;0,7;7,59;0,2
325430;Peaches, yellow, raw;42;0,91;0,27;10,1;1,5
325524;Seeds, sunflower seed kernels, dry roasted, with salt added;612;21;56,1;17,1;10,3
326196;Kale, frozen, cooked, boiled, drained, without salt;36;2,94;1,21;5,3;-
326698;Mustard, prepared, yellow;61;4,25;3,38;5,3;4,3
327046;Kiwifruit, green, raw;58;1,06;0,44;14;3
327357;Nectarines, raw;39;1,06;0,28;9,18;1,5
328637;Cheese, cheddar;408;23,3;34;2,44;-
328841;Cheese, cottage, lowfat, 2% milkfat;84;11;2,3;4,31;-
329370;Cheese, mozzarella, low moisture, part-skim;298;23,7;20,4;4,44;-
329490;Egg, whole, dried;575;48,1;39,8;1,87;-
329596;Egg, yolk, raw, frozen, pasteurized;296;15,6;25,1;0,59;-
329716;Egg, yolk, dried;654;34,2;55,5;1,07;-
330137;Yogurt, Greek, plain, nonfat;61;10,3;0,37;3,64;-
330415;Yogurt, Greek, strawberry, nonfat;83;8,06;0,15;12,2;0,6
330458;Oil, coconut;833;-;99,1;0,84;-
331897;Chicken, broilers or fryers, drumstick, meat only, cooked, braised;156;23,9;5,95;-;-
331960;Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised;166;32,1;3,24;-;-
332282;Sauce, pasta, spaghetti/marinara, ready-to-serve;45;1,41;1,48;8,05;1,8
332397;Ham, sliced, pre-packaged, deli meat (96%fat free, water added);106;16,7;3,73;0,27;-
332791;Olives, green, Manzanilla, stuffed with pimiento;130;1,15;12,9;4,96;4
333008;Cookies, oatmeal, soft, with raisins;430;5,79;14,3;69,6;3,3
333281;Tomatoes, canned, red, ripe, diced;18;0,84;0,5;3,32;-
333374;Fish, haddock, raw;74;16,3;0,45;-;-
333476;Fish, pollock, raw;56;12,3;0,41;-;-
334194;Fish, tuna, light, canned in water, drained solids;90;19;0,94;0,08;-
334536;Restaurant, Chinese, fried rice, without meat;174;3,84;3,19;32,5;-
334628;Restaurant, Latino, tamale, pork;174;7,38;9,04;15,8;2,4
334720;Restaurant, Latino, pupusas con frijoles (pupusas, bean);229;5,59;9,01;31,5;5,8
746758;Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0" fat, select, cooked, roasted;176;27,7;6,36;-;-
746759;Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8" fat, choice, raw;155;22,8;6,39;-;-
746760;Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0" fat, select, raw;122;23,4;2,48;-;-
746761;Beef, round, top round roast, boneless, separable lean only, trimmed to 0" fat, select, raw;123;23,7;2,41;-;-
746762;Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8" fat, select, raw;145;22,7;5,32;-;-
746763;Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8" fat, choice, cooked, grilled;219;27,3;11,4;-;-
746764;Carrots, frozen, unprepared;37;0,81;0,47;7,92;3,2
746765;Cheese, dry white, queso seco;326;24,5;24,3;2,07;-
746766;Cheese, ricotta, whole milk;157;7,81;11;6,86;-
746767;Cheese, swiss;393;27;31;1,44;-
746768;Figs, dried, uncooked;249;3,3;0,92;63,9;9,8
746769;Lettuce, cos or romaine, raw;17;1,24;0,26;3,24;1,8
746770;Melons, cantaloupe, raw;34;0,82;0,18;8,16;0,8
746771;Oranges, raw, navels;47;0,91;0,15;11,8;2
746772;Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D;43;3,38;0,95;5,18;-
746773;Pears, raw, bartlett;57;0,38;0,16;15,1;3,1
746774;Restaurant, Chinese, sweet and sour pork;260;8,88;13,6;25,5;1
746775;Salt, table, iodized;-;-;-;-;-
746776;Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim);34;3,43;0,08;4,92;-
746777;Sauce, salsa, ready-to-serve;29;1,44;0,19;6,74;1,8
746778;Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D;50;3,36;1,9;4,9;-
746779;Sausage, breakfast sausage, beef, pre-cooked, unprepared;328;13,3;28,7;3,37;-
746780;Sausage, Italian, pork, mild, cooked, pan-fried;322;18,2;26,2;2,15;-
746781;Sausage, pork, chorizo, link or ground, cooked, pan-fried;346;19,3;28,1;2,63;-
746782;Milk, whole, 3.25% milkfat, with added vitamin D;60;3,27;3,2;4,63;-
746783;Sausage, turkey, breakfast links, mild, raw;169;16,7;10,4;0,93;-
746784;Sugars, granulated;385;-;0,32;99,6;-
746785;Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles;220;27,1;11,6;-;-
746952;Ham, sliced, restaurant;121;19,6;3,68;2,36;-
747429;Cheese, American, restaurant;375;17,5;31,1;6,35;-
747430;Beans, Dry, Medium Red (0% moisture);-;25,5;1,04;-;4,3
747431;Beans, Dry, Red (0% moisture);-;21,3;1,16;-;4
747432;Beans, Dry, Flor de Mayo (0% moisture);-;23,3;0,86;-;4
747433;Beans, Dry, Brown (0% moisture);-;25,6;1,12;-;4,1
747434;Beans, Dry, Tan (0% moisture);-;26,8;1,14;-;4,4
747435;Beans, Dry, Light Tan (0% moisture);-;24,6;1,28;-;4,3
747436;Beans, Dry, Carioca (0% moisture);-;25,2;1,44;-;4,5
