code;name;calories;protein;fat;carbo;fiber
1001;Mentega, asin;717;0,85;81,11;0,06;-
1002;Mentega, kocok, dengan garam;718;0,49;78,3;2,87;-
1003;Minyak mentega, tidak mengandung air;876;0,28;99,48;-;-
1004;Keju, biru;353;21,4;28,74;2,34;-
1005;Keju, batu bata;371;23,24;29,68;2,79;-
1006;Keju, brie;334;20,75;27,68;0,45;-
1007;Keju, camembert;300;19,8;24,26;0,46;-
1008;Keju, jintan;376;25,18;29,2;3,06;-
1009;Keju, cheddar;404;22,87;33,31;3,09;-
1010;Keju, Cheshire;387;23,37;30,6;4,78;-
1011;Keju, colby;394;23,76;32,11;2,57;-
1012;Keju, cottage, krim, dadih besar atau kecil;98;11,12;4,3;3,38;-
1013;Keju, cottage, krim, dengan buah;97;10,69;3,85;4,61;0,2
1014;Keju, cottage, tanpa lemak, tanpa dadih, dikeringkan, besar atau kecil;72;10,34;0,29;6,66;-
1015;Keju, cottage, lemak rendah, lemak susu 2%;81;10,45;2,27;4,76;-
1016;Keju, cottage, lemak rendah, lemak susu 1%;72;12,39;1,02;2,72;-
1017;Keju, krim;350;6,15;34,44;5,52;-
1018;Keju, edam;357;24,99;27,8;1,43;-
1019;Keju, feta;264;14,21;21,28;4,09;-
1020;Keju, fontina;389;25,6;31,14;1,55;-
1021;Keju, gjetost;466;9,65;29,51;42,65;-
1022;Keju, gouda;356;24,94;27,44;2,22;-
1023;Keju, gruyere;413;29,81;32,34;0,36;-
1024;Keju, limburger;327;20,05;27,25;0,49;-
1025;Keju, monterey;373;24,48;30,28;0,68;-
1026;Keju, mozzarella, susu murni;300;22,17;22,35;2,19;-
1027;Keju, mozzarella, susu murni, kelembaban rendah;318;21,6;24,64;2,47;-
1028;Keju, mozzarella, sebagian susu skim;254;24,26;15,92;2,77;-
1029;Keju, mozzarella, kelembaban rendah, sebagian skim;295;23,75;19,78;5,58;-
1030;Keju, muenster;368;23,41;30,04;1,12;-
1031;Keju, neufchatel;253;9,15;22,78;3,59;-
1032;Keju, parmesan, parut;420;28,42;27,84;13,91;-
1033;Keju, parmesan, keras;392;35,75;25,83;3,22;-
1034;Keju, port de salut;352;23,78;28,2;0,57;-
1035;Keju, provolon;351;25,58;26,62;2,14;-
1036;Keju, ricotta, susu murni;174;11,26;12,98;3,04;-
1037;Keju, ricotta, sebagian susu skim;138;11,39;7,91;5,14;-
1038;Keju, romano;387;31,8;26,94;3,63;-
1039;Keju, roquefort;369;21,54;30,64;2;-
1040;Keju, swiss;393;26,96;30,99;1,44;-
1041;Keju, tilsit;340;24,41;25,98;1,88;-
1042;Keju, proses pasteurisasi, Amerika, diperkaya dengan vitamin D;366;18,13;30,71;4,78;-
1043;Keju, proses pasteurisasi, bumbu cengkeh;375;22,13;31,2;1,73;0,1
1044;Keju, proses pasteurisasi, swiss;334;24,73;25,01;2,1;-
1045;Makanan keju, paket dingin, Amerika;331;19,66;24,46;8,32;-
1046;Makanan keju, proses pasteurisasi, Amerika, vitamin D diperkaya;330;16,86;25,63;8,56;-
1047;Makanan keju, proses pasteurisasi, swiss;323;21,92;24,14;4,5;-
1048;Penyebaran keju, proses pasteurisasi, Amerika;290;16,41;21,23;8,73;-
1049;Krim, cairan, setengah dan setengah;123;3,13;10,39;4,73;-
1050;Krim, cairan, cahaya (krim kopi atau krim meja);191;2,96;19,1;2,82;-
1052;Krim, cairan, cambuk ringan;292;2,17;30,91;2,96;-
1053;Krim, cairan, cambuk berat;340;2,84;36,08;2,74;-
1054;Krim, dikocok, topping krim, bertekanan;257;3,2;22,22;12,49;-
1055;Krim, asam, lemak berkurang, dikultur;135;2,94;12;4,26;-
1056;Krim, asam, berbudaya;198;2,44;19,35;4,63;-
1057;Minuman telur kopyok;88;4,55;4,19;8,05;-
1058;Saus asam, non-butterfat, berbudaya, jenis krim diisi;178;3,25;16,57;4,68;-
1059;Susu, diisi, cairan, dengan campuran minyak sayur terhidrogenasi;63;3,33;3,46;4,74;-
1060;Susu, diisi, cairan, dengan minyak asam laurat;63;3,33;3,4;4,74;-
1061;Keju, Amerika, tanpa lemak atau bebas lemak;126;21,05;-;10,53;-
1067;Pengganti krim, cair, dengan minyak sayur terhidrogenasi dan protein kedelai;136;1;9,97;11,38;-
1068;Pengganti krim, cair, dengan minyak asam laurat dan natrium kaseinat;136;1;9,97;11,38;-
1069;Pengganti krim, bubuk;529;2,48;32,92;59,29;-
1070;Topping makanan penutup, bubuk;577;4,9;39,92;52,54;-
1071;Topping makanan penutup, bubuk, 1,5 ons disiapkan dengan 1/2 gelas susu;194;3,61;12,72;17,13;-
1072;Topping makanan penutup, bertekanan;264;0,98;22,3;16,07;-
1073;Topping makanan penutup, semi padat, beku;318;1,25;25,31;23,05;-
1074;Krim asam, imitasi, berbudaya;208;2,4;19,52;6,63;-
1076;Pengganti susu, cairan, dengan minyak asam laurat;61;1,75;3,41;6,16;-
1077;Susu, utuh, 3,25% lemak susu, dengan tambahan vitamin D;61;3,15;3,25;4,8;-
1078;Susu, produsen, cairan, 3,7% lemak susu;64;3,28;3,66;4,65;-
1079;Susu, mengurangi lemak, cairan, lemak susu 2%, dengan tambahan vitamin A dan vitamin D;50;3,3;1,98;4,8;-
1080;Susu, mengurangi lemak, cairan, lemak susu 2%, dengan tambahan susu tanpa lemak dan vitamin A dan vitamin D;51;3,48;1,92;4,97;-
1081;Susu, mengurangi lemak, cairan, lemak susu 2%, protein yang diperkaya, dengan tambahan vitamin A dan vitamin D;56;3,95;1,98;5,49;-
1082;Susu, lemak rendah, cairan, lemak susu 1%, dengan tambahan vitamin A dan vitamin D;42;3,37;0,97;4,99;-
1083;Susu, lemak rendah, cairan, lemak susu 1%, dengan tambahan padatan susu tanpa lemak, vitamin A dan vitamin D;43;3,48;0,97;4,97;-
1084;Susu, lemak rendah, cairan, lemak susu 1%, protein yang diperkaya, dengan tambahan vitamin A dan vitamin D;48;3,93;1,17;5,52;-
1085;Susu, tanpa lemak, cairan, dengan tambahan vitamin A dan vitamin D (bebas lemak atau skim);34;3,37;0,08;4,96;-
1086;Susu, tanpa lemak, cairan, dengan menambahkan padatan susu tanpa lemak, vitamin A dan vitamin D (bebas lemak atau skim);37;3,57;0,25;5,02;-
1087;Susu, tanpa lemak, cairan, protein yang diperkaya, dengan tambahan vitamin A dan vitamin D (bebas lemak dan skim);41;3,96;0,25;5,56;-
1088;Susu, susu, cairan, dikultur, rendah lemak;40;3,31;0,88;4,79;-
1089;Susu, natrium rendah, cairan;61;3,1;3,46;4,46;-
1090;Susu, dikeringkan, utuh, dengan tambahan vitamin D;496;26,32;26,71;38,42;-
1091;Susu, dikeringkan, tanpa lemak, teratur, tanpa tambahan vitamin A dan vitamin D;362;36,16;0,77;51,98;-
1092;Susu, dikeringkan, tanpa lemak, instan, dengan tambahan vitamin A dan vitamin D;358;35,1;0,72;52,19;-
1093;Susu, dikeringkan, tanpa lemak, kalsium berkurang;354;35,5;0,2;51,8;-
1094;Susu, susu, kering;387;34,3;5,78;49;-
1095;Susu, kaleng, kental, manis;321;7,91;8,7;54,4;-
1096;Susu, kaleng, diuapkan, dengan tambahan vitamin D dan tanpa tambahan vitamin A;134;6,81;7,56;10,04;-
1097;Susu, kaleng, diuapkan, tanpa lemak, dengan tambahan vitamin A dan vitamin D;78;7,55;0,2;11,35;-
1102;Susu, coklat, cairan, komersial, utuh, dengan tambahan vitamin A dan vitamin D;83;3,17;3,39;10,34;0,8
1103;Susu, coklat, cairan, komersial, lemak berkurang, dengan tambahan vitamin A dan vitamin D;76;2,99;1,9;12,13;0,7
1104;Susu, cokelat, rendah lemak, dengan tambahan vitamin A dan vitamin D;62;3,46;1;9,86;0,1
1105;Susu, minuman cokelat, cokelat panas, buatan sendiri;77;3,52;2,34;10,74;1
1106;Susu, kambing, cairan, dengan tambahan vitamin D;69;3,56;4,14;4,45;-
1107;Susu, manusia, dewasa, cairan;70;1,03;4,38;6,89;-
1108;Susu, kerbau India, cairan;97;3,75;6,89;5,18;-
1109;Susu, domba, cairan;108;5,98;7;5,36;-
1110;Susu kocok, cokelat kental;119;3,05;2,7;21,15;0,3
1111;Susu kocok, vanilla kental;112;3,86;3,03;17,75;-
1112;Whey, asam, cairan;24;0,76;0,09;5,12;-
1113;Whey, asam, kering;339;11,73;0,54;73,45;-
1114;Whey, manis, cair;27;0,85;0,36;5,14;-
1115;Whey, manis, kering;353;12,93;1,07;74,46;-
1116;Yogurt, tawar, susu murni, 8 gram protein per 8 ons;61;3,47;3,25;4,66;-
1117;Yogurt, tawar, rendah lemak, protein 12 gram per 8 ons;63;5,25;1,55;7,04;-
1118;Yoghurt, polos, susu skim, 13 gram protein per 8 ons;56;5,73;0,18;7,68;-
1119;Yogurt, vanila, rendah lemak, 11 gram protein per 8 ons;85;4,93;1,25;13,8;-
1120;Yogurt, buah, rendah lemak, 9 gram protein per 8 ons;99;3,98;1,15;18,64;-
1121;Yogurt, buah, rendah lemak, 10 gram protein per 8 ons;102;4,37;1,08;19,05;-
1122;Yogurt, buah, rendah lemak, 11 gram protein per 8 ons;105;4,86;1,41;18,6;-
1123;Telur, utuh, mentah, segar;143;12,56;9,51;0,72;-
1124;Telur, putih, mentah, segar;52;10,9;0,17;0,73;-
1125;Telur, kuning telur, mentah, segar;322;15,86;26,54;3,59;-
1126;Telur, kuning telur, mentah, beku, dipasteurisasi;296;15,53;25,6;0,81;-
1127;Telur, kuning telur, mentah, beku, gula, dipasteurisasi;307;13,87;22,82;10,95;-
1128;Telur, utuh, dimasak, digoreng;196;13,61;14,84;0,83;-
1129;Telur, utuh, matang, rebus-keras;155;12,58;10,61;1,12;-
1130;Telur, utuh, matang, telur dadar;154;10,57;11,66;0,64;-
1131;Telur, utuh, matang, rebus;143;12,51;9,47;0,71;-
1132;Telur, utuh, dimasak, diaduk;149;9,99;10,98;1,61;-
1133;Telur, utuh, kering;592;48,05;43,9;1,13;-
1134;Telur, utuh, dikeringkan, stabil, glukosa berkurang;615;48,17;43,95;2,38;-
1135;Telur, putih, dikeringkan, serpih, distabilkan, glukosa berkurang;351;76,92;0,04;4,17;-
1136;Telur, putih, dikeringkan, bubuk, stabil, glukosa berkurang;376;82,4;0,04;4,47;-
1137;Telur, kuning telur, kering;669;33,63;59,13;0,66;-
1138;Telur, bebek, utuh, segar, mentah;185;12,81;13,77;1,45;-
1139;Telur, angsa, utuh, segar, mentah;185;13,87;13,27;1,35;-
1140;Telur, puyuh, utuh, segar, mentah;158;13,05;11,09;0,41;-
1141;Telur, kalkun, utuh, segar, mentah;171;13,68;11,88;1,15;-
1144;Pengganti telur, bubuk;444;55,5;13;21,8;-
1145;Mentega, tanpa garam;717;0,85;81,11;0,06;-
1146;Keju, parmesan, iris;415;37,86;27,34;3,41;-
1151;Susu, tanpa lemak, cairan, tanpa tambahan vitamin A dan vitamin D (bebas lemak atau skim);34;3,37;0,08;4,96;-
